Code,Count,Country,GDPperCapita,Population
USA,4585,United States,56115.7184261955,321.42
GBR,1720,United Kingdom,43875.9696143686,65.14
FRA,1396,France,36205.5681017036,66.81
GER,1305,Germany,41313.3139945434,81.41
ITA,1296,Italy,29957.8043154372,60.8
AUS,1189,Australia,56310.9629933721,23.78
HUN,1079,Hungary,12363.5434596539,9.84
SWE,1044,Sweden,50579.6736486777,9.8
NED,851,Netherlands,44299.768085383,16.94
CHN,807,China,8027.68381013907,1371.22
JPN,788,Japan,32477.2151449234,126.96
RUS,768,Russia,9092.58053606884,144.1
CAN,649,Canada,43248.529909341,35.85
NOR,554,Norway,74400.3697770928,5.2
KOR,529,"Korea, South",27221.5240509661,50.62
POL,511,Poland,12554.5475536313,38.0
DEN,507,Denmark,51989.2934712354,5.68
FIN,456,Finland,42311.0362306446,5.48
ESP,442,Spain,25831.5823052954,46.42
BRA,431,Brazil,8538.5899749574,207.85
BEL,411,Belgium,40324.0277657215,11.29
CUB,410,Cuba,,11.39
SUI,380,Switzerland,80945.0792194742,8.29
BUL,333,Bulgaria,6993.47735975728,7.18
GHA,16,Ghana,1369.70112227585,27.41
ALG,15,Algeria,4206.03123244958,39.67
PER,15,Peru,6027.12585529551,31.38
SCG,14,Serbia,5235.14220696525,7.1
VEN,12,Venezuela,,31.11
ARM,11,Armenia,3489.12768956995,3.02
TUN,10,Tunisia,3872.51208364171,11.11
PHI,9,Philippines,2904.20208191528,100.7
PUR,8,Puerto Rico*,,3.47
MAS,8,Malaysia,9768.32686011881,30.33
