Code,Count,Country,GDPperCapita,Population
USA,653,United States,56115.7184261955,321.42
CAN,625,Canada,43248.529909341,35.85
NOR,457,Norway,74400.3697770928,5.2
FIN,434,Finland,42311.0362306446,5.48
SWE,433,Sweden,50579.6736486777,9.8
GER,360,Germany,41313.3139945434,81.41
SUI,285,Switzerland,80945.0792194742,8.29
AUT,280,Austria,43774.985173612,8.61
RUS,263,Russia,9092.58053606884,144.1
ITA,192,Italy,29957.8043154372,60.8
FRA,152,France,36205.5681017036,66.81
NED,122,Netherlands,44299.768085383,16.94
KOR,87,"Korea, South",27221.5240509661,50.62
CHN,82,China,8027.68381013907,1371.22
GBR,79,United Kingdom,43875.9696143686,65.14
CZE,75,Czech Republic,17548.3382129701,10.55
JPN,63,Japan,32477.2151449234,126.96
POL,27,Poland,12554.5475536313,38.0
SLO,18,Slovenia,20726.5398863708,2.06
LAT,15,Latvia,13648.5475564772,1.98
BLR,15,Belarus,5740.45649479562,9.51
AUS,15,Australia,56310.9629933721,23.78
BEL,13,Belgium,40324.0277657215,11.29
HUN,12,Hungary,12363.5434596539,9.84
CRO,11,Croatia,11535.8293558997,4.22
UKR,11,Ukraine,2114.95471628444,45.2
LIE,9,Liechtenstein,,0.04
KAZ,7,Kazakhstan,10509.9810699442,17.54
EST,7,Estonia,17118.5042003236,1.31
BUL,6,Bulgaria,6993.47735975728,7.18
SVK,5,Slovakia,16088.2775872723,5.42
DEN,5,Denmark,51989.2934712354,5.68
ESP,2,Spain,25831.5823052954,46.42
LUX,2,Luxembourg,101449.968168042,0.57
PRK,2,"Korea, North",,25.16
NZL,1,New Zealand,37807.9672760442,4.6
UZB,1,Uzbekistan,2132.07036847857,31.3
